FORECAST_DATE_LOCAL,FORECAST_DATE_GMT,MAX,MIN,OPT,MCR,ACTUAL 
2025-01-01,2025-01-01 07:00,0,0,0,1812,0
2025-01-01 01:00,2025-01-01 08:00,0,0,0,1812,0
2025-01-01 02:00,2025-01-01 09:00,0,0,0,1812,0
2025-01-01 03:00,2025-01-01 10:00,0,0,0,1812,0
2025-01-01 04:00,2025-01-01 11:00,0,0,0,1812,0
2025-01-01 05:00,2025-01-01 12:00,0,0,0,1812,0
2025-01-01 06:00,2025-01-01 13:00,0,0,0,1812,0
2025-01-01 07:00,2025-01-01 14:00,0,0,0,1812,.89
2025-01-01 08:00,2025-01-01 15:00,12.42,3.52,8.75,1812,1.17
2025-01-01 09:00,2025-01-01 16:00,122.52,54.01,99.41,1812,17.86
2025-01-01 10:00,2025-01-01 17:00,301.42,146.47,237.27,1812,78.69
2025-01-01 11:00,2025-01-01 18:00,379.48,215.37,304.74,1812,126.38
2025-01-01 12:00,2025-01-01 19:00,410.48,252.99,328.53,1812,124.2
2025-01-01 13:00,2025-01-01 20:00,390.63,225.8,306.98,1812,119.38
2025-01-01 14:00,2025-01-01 21:00,288.86,159.72,240.72,1812,113.1
2025-01-01 15:00,2025-01-01 22:00,114.28,53.99,92.31,1812,43.68
2025-01-01 16:00,2025-01-01 23:00,6.47,1.88,4.9,1812,1.18
2025-01-01 17:00,2025-01-02,0,0,0,1812,0
2025-01-01 18:00,2025-01-02 01:00,0,0,0,1812,0
2025-01-01 19:00,2025-01-02 02:00,0,0,0,1812,0
2025-01-01 20:00,2025-01-02 03:00,0,0,0,1812,0
2025-01-01 21:00,2025-01-02 04:00,0,0,0,1812,0
2025-01-01 22:00,2025-01-02 05:00,0,0,0,1812,0
2025-01-01 23:00,2025-01-02 06:00,0,0,0,1812,0
2025-01-02,2025-01-02 07:00,0,0,0,1812,0
2025-01-02 01:00,2025-01-02 08:00,0,0,0,1812,0
2025-01-02 02:00,2025-01-02 09:00,0,0,0,1812,0
2025-01-02 03:00,2025-01-02 10:00,0,0,0,1812,0
2025-01-02 04:00,2025-01-02 11:00,0,0,0,1812,0
2025-01-02 05:00,2025-01-02 12:00,0,0,0,1812,.44
2025-01-02 06:00,2025-01-02 13:00,0,0,0,1812,0
2025-01-02 07:00,2025-01-02 14:00,0,0,0,1812,0
2025-01-02 08:00,2025-01-02 15:00,28.16,5.95,11.28,1812,1.06
2025-01-02 09:00,2025-01-02 16:00,243.26,89.46,139.82,1812,16.17
2025-01-02 10:00,2025-01-02 17:00,589.46,200.02,295.66,1812,76.84
2025-01-02 11:00,2025-01-02 18:00,703.81,280.4,383.84,1812,118.17
2025-01-02 12:00,2025-01-02 19:00,695.55,321.27,425.15,1812,131.43
2025-01-02 13:00,2025-01-02 20:00,722.25,315.16,428.41,1812,135.44
2025-01-02 14:00,2025-01-02 21:00,608.35,258.25,356.69,1812,89.98
2025-01-02 15:00,2025-01-02 22:00,239.47,99.24,140.49,1812,26.15
2025-01-02 16:00,2025-01-02 23:00,19.23,5.96,7.75,1812,.09
2025-01-02 17:00,2025-01-03,0,0,0,1812,0
2025-01-02 18:00,2025-01-03 01:00,0,0,0,1812,0
2025-01-02 19:00,2025-01-03 02:00,0,0,0,1812,0
