FORECAST_DATE_LOCAL,FORECAST_DATE_GMT,MAX,MIN,OPT,MCR,ACTUAL 
2025-01-01,2025-01-01 07:00,831.53,255.82,562.76,5688,421.66
2025-01-01 01:00,2025-01-01 08:00,833.23,267.56,526.15,5688,360.2
2025-01-01 02:00,2025-01-01 09:00,869.65,270.67,494.45,5688,353.9
2025-01-01 03:00,2025-01-01 10:00,946.79,246.95,475.73,5688,367.46
2025-01-01 04:00,2025-01-01 11:00,1022.32,205.16,482.95,5688,319.72
2025-01-01 05:00,2025-01-01 12:00,944.45,194.13,459.62,5688,224.74
2025-01-01 06:00,2025-01-01 13:00,818.1,201.45,428.76,5688,179.33
2025-01-01 07:00,2025-01-01 14:00,709.83,200.39,413.06,5688,142.51
2025-01-01 08:00,2025-01-01 15:00,721.42,199.19,404.38,5688,121.75
2025-01-01 09:00,2025-01-01 16:00,655.73,184.09,372.63,5688,89.31
2025-01-01 10:00,2025-01-01 17:00,628.45,125.24,391.73,5688,88.07
2025-01-01 11:00,2025-01-01 18:00,606.51,72.32,361.96,5688,98.65
2025-01-01 12:00,2025-01-01 19:00,578.2,48.18,347.52,5688,96.15
2025-01-01 13:00,2025-01-01 20:00,568.44,47.79,329.56,5688,113.5
2025-01-01 14:00,2025-01-01 21:00,599.38,58.34,314.22,5688,135.84
2025-01-01 15:00,2025-01-01 22:00,595.07,77.15,307.05,5688,144.71
2025-01-01 16:00,2025-01-01 23:00,562.56,96.97,319.28,5688,184.38
2025-01-01 17:00,2025-01-02,522.49,130.79,325.09,5688,183.88
2025-01-01 18:00,2025-01-02 01:00,479.56,163.83,308.61,5688,146.8
2025-01-01 19:00,2025-01-02 02:00,449.63,198.31,308,5688,102.46
2025-01-01 20:00,2025-01-02 03:00,438.42,209.09,307.69,5688,88.73
2025-01-01 21:00,2025-01-02 04:00,446.21,205.08,307.2,5688,89.35
2025-01-01 22:00,2025-01-02 05:00,436.61,135.42,252.27,5688,68.65
2025-01-01 23:00,2025-01-02 06:00,396.85,123.21,248.31,5688,67.86
2025-01-02,2025-01-02 07:00,372.04,113.6,229.35,5688,35.86
2025-01-02 01:00,2025-01-02 08:00,382.33,89.96,213.6,5688,34.43
2025-01-02 02:00,2025-01-02 09:00,402.08,58.45,199.43,5688,33.88
2025-01-02 03:00,2025-01-02 10:00,411.9,52.37,191.71,5688,44.52
2025-01-02 04:00,2025-01-02 11:00,449.71,49.76,185.8,5688,50.23
2025-01-02 05:00,2025-01-02 12:00,472.46,47.54,185.88,5688,52.12
2025-01-02 06:00,2025-01-02 13:00,465.74,44.41,178.87,5688,56.42
2025-01-02 07:00,2025-01-02 14:00,497.96,39.9,168.5,5688,60.53
2025-01-02 08:00,2025-01-02 15:00,549.58,36.6,160.49,5688,65.37
2025-01-02 09:00,2025-01-02 16:00,473.41,34.24,137.69,5688,54.9
2025-01-02 10:00,2025-01-02 17:00,367.68,16.69,109.14,5688,41.51
2025-01-02 11:00,2025-01-02 18:00,330.6,12.43,91.74,5688,36.25
2025-01-02 12:00,2025-01-02 19:00,175.33,19.64,88.33,5688,23.81
2025-01-02 13:00,2025-01-02 20:00,188.84,24.98,89.13,5688,14.08
2025-01-02 14:00,2025-01-02 21:00,204.08,42.79,96.32,5688,31.42
2025-01-02 15:00,2025-01-02 22:00,220.11,65.11,116.25,5688,28.5
2025-01-02 16:00,2025-01-02 23:00,228.97,100.3,157.4,5688,51.06
2025-01-02 17:00,2025-01-03,301.79,129.56,190.83,5688,41.73
2025-01-02 18:00,2025-01-03 01:00,328.77,151.35,222.42,5688,43.82
2025-01-02 19:00,2025-01-03 02:00,360.48,129.23,235.42,5688,67.29
2025-01-02 20:00,2025-01-03 03:00,380.75,120.1,246.34,5688,84.84
2025-01-02 21:00,2025-01-03 04:00,386.45,125.9,265.05,5688,124.05
2025-01-02 22:00,2025-01-03 05:00,373.3,160.77,285.53,5688,119.63
2025-01-02 23:00,2025-01-03 06:00,450.47,172.99,324.98,5688,75.24
2025-01-03,2025-01-03 07:00,485.5,179.42,337.59,5688,77.95
2025-01-03 01:00,2025-01-03 08:00,542.6,180.95,360.6,5688,105.21
2025-01-03 02:00,2025-01-03 09:00,592.88,206.23,400.56,5688,158.78
2025-01-03 03:00,2025-01-03 10:00,707.62,281.71,474.58,5688,225.13
2025-01-03 04:00,2025-01-03 11:00,881.92,388.83,575.37,5688,263.98
2025-01-03 05:00,2025-01-03 12:00,1103.87,539.96,781.54,5688,369.53
2025-01-03 06:00,2025-01-03 13:00,1724.79,697.24,1002.68,5688,431.49
2025-01-03 07:00,2025-01-03 14:00,1923.04,849.54,1181.81,5688,511.92
