FORECAST_DATE_LOCAL,FORECAST_DATE_GMT,MAX,MIN,OPT,MCR,ACTUAL,dayOfWeek,dayOfMonth,year,month
2025-07-29T23:00:00.000Z,2025-07-30T05:00:00.000Z,1871.14,804.73,1247.93,5688,326.0,4,30,2025,7
2025-07-29T22:00:00.000Z,2025-07-30T04:00:00.000Z,1681.54,734.5,1070.31,5688,326.0,4,30,2025,7
2025-07-29T21:00:00.000Z,2025-07-30T03:00:00.000Z,1301.15,615.94,816.11,5688,326.0,4,30,2025,7
2025-07-29T20:00:00.000Z,2025-07-30T02:00:00.000Z,932.98,411.48,575.15,5688,326.0,4,30,2025,7
2025-07-29T19:00:00.000Z,2025-07-30T01:00:00.000Z,620.21,244.79,370.58,5688,326.0,4,30,2025,7
2025-07-29T18:00:00.000Z,2025-07-30T00:00:00.000Z,439.2,127.34,262.43,5688,326.0,4,30,2025,7
2025-07-29T17:00:00.000Z,2025-07-29T23:00:00.000Z,338.65,63.45,218.22,5688,326.0,3,29,2025,7
2025-07-29T16:00:00.000Z,2025-07-29T22:00:00.000Z,293.64,49.96,152.34,5688,326.0,3,29,2025,7
2025-07-29T15:00:00.000Z,2025-07-29T21:00:00.000Z,267.55,43.21,125.14,5688,326.0,3,29,2025,7
2025-07-29T14:00:00.000Z,2025-07-29T20:00:00.000Z,234.11,45.94,119.8,5688,326.0,3,29,2025,7
2025-07-29T13:00:00.000Z,2025-07-29T19:00:00.000Z,188.99,53.66,123.62,5688,326.0,3,29,2025,7
2025-07-29T12:00:00.000Z,2025-07-29T18:00:00.000Z,176.26,62.51,135.47,5688,326.0,3,29,2025,7
2025-07-29T11:00:00.000Z,2025-07-29T17:00:00.000Z,210.82,50.81,132.57,5688,326.0,3,29,2025,7
2025-07-29T10:00:00.000Z,2025-07-29T16:00:00.000Z,223.14,51.76,131.3,5688,326.0,3,29,2025,7
2025-07-29T09:00:00.000Z,2025-07-29T15:00:00.000Z,236.43,70.81,133.29,5688,326.0,3,29,2025,7
2025-07-29T08:00:00.000Z,2025-07-29T14:00:00.000Z,407.84,99.24,215.01,5688,326.0,3,29,2025,7
2025-07-29T07:00:00.000Z,2025-07-29T13:00:00.000Z,606.0,152.44,344.26,5688,326.0,3,29,2025,7
2025-07-29T06:00:00.000Z,2025-07-29T12:00:00.000Z,640.71,163.24,458.99,5688,326.0,3,29,2025,7
2025-07-29T05:00:00.000Z,2025-07-29T11:00:00.000Z,588.11,190.59,427.64,5688,326.0,3,29,2025,7
2025-07-29T04:00:00.000Z,2025-07-29T10:00:00.000Z,567.63,161.7,437.74,5688,326.0,3,29,2025,7
2025-07-29T03:00:00.000Z,2025-07-29T09:00:00.000Z,1158.74,173.3,574.81,5688,326.0,3,29,2025,7
